SSL pretraining | backbone=resnet50 | method=dino | epochs=300
Configs: ['configs/default.yaml', 'configs/ssl_pretrain.yaml', 'configs/_win_local.yaml', 'configs/ssl_dino_v3_0.yaml']
  Disjointness OK — SSL=53576 (26788 patients) vs train=35126 (17563 patients)
  Corpus images: 53576
  Device=cuda | AMP=True | feature_dim=2048
  --resume: restored resnet50 at epoch 77/300 (global_step=42966).
  [ep 89 step 50150] loss=0.9748 feat_std=0.0131 lr=0.00015 m=0.99682
  [ep 89 step 50200] loss=1.0063 feat_std=0.0129 lr=0.00015 m=0.99682
  [ep 90 step 50250] loss=0.8625 feat_std=0.0128 lr=0.00015 m=0.99683
  [ep 90 step 50300] loss=0.9401 feat_std=0.0130 lr=0.00015 m=0.99683
  [ep 90 step 50350] loss=0.9099 feat_std=0.0130 lr=0.00015 m=0.99683
  [ep 90 step 50400] loss=0.9374 feat_std=0.0128 lr=0.00015 m=0.99683
  [ep 90 step 50450] loss=0.9589 feat_std=0.0131 lr=0.00015 m=0.99683
  [ep 90 step 50500] loss=0.9776 feat_std=0.0129 lr=0.00015 m=0.99683
  [ep 90 step 50550] loss=0.8553 feat_std=0.0130 lr=0.00015 m=0.99683
  [ep 90 step 50600] loss=0.9387 feat_std=0.0130 lr=0.00015 m=0.99684
  [ep 90 step 50650] loss=0.8404 feat_std=0.0129 lr=0.00015 m=0.99684
  [ep 90 step 50700] loss=0.9979 feat_std=0.0129 lr=0.00015 m=0.99684
  [ep 90 step 50750] loss=0.9188 feat_std=0.0128 lr=0.00015 m=0.99684
  [ep 91 step 50800] loss=1.0390 feat_std=0.0128 lr=0.00015 m=0.99684
  [ep 91 step 50850] loss=1.0598 feat_std=0.0130 lr=0.00015 m=0.99684
  [ep 91 step 50900] loss=1.0004 feat_std=0.0131 lr=0.00015 m=0.99685
  [ep 91 step 50950] loss=1.0131 feat_std=0.0128 lr=0.00015 m=0.99685
  [ep 91 step 51000] loss=1.0068 feat_std=0.0127 lr=0.00015 m=0.99685
  [ep 91 step 51050] loss=1.0042 feat_std=0.0130 lr=0.00015 m=0.99685
  [ep 91 step 51100] loss=1.0245 feat_std=0.0129 lr=0.00015 m=0.99685
  [ep 91 step 51150] loss=0.9017 feat_std=0.0131 lr=0.00015 m=0.99685
  [ep 91 step 51200] loss=0.9339 feat_std=0.0128 lr=0.00015 m=0.99685
  [ep 91 step 51250] loss=0.9419 feat_std=0.0129 lr=0.00015 m=0.99686
  [ep 91 step 51300] loss=0.9368 feat_std=0.0130 lr=0.00015 m=0.99686
  [ep 92 step 51350] loss=0.9558 feat_std=0.0130 lr=0.00015 m=0.99686
  [ep 92 step 51400] loss=0.9157 feat_std=0.0129 lr=0.00015 m=0.99686
  [ep 92 step 51450] loss=0.8949 feat_std=0.0131 lr=0.00015 m=0.99686
  [ep 92 step 51500] loss=0.9454 feat_std=0.0129 lr=0.00015 m=0.99686
  [ep 92 step 51550] loss=0.9804 feat_std=0.0130 lr=0.00015 m=0.99687
  [ep 92 step 51600] loss=0.8520 feat_std=0.0130 lr=0.00015 m=0.99687
  [ep 92 step 51650] loss=0.9860 feat_std=0.0130 lr=0.00015 m=0.99687
  [ep 92 step 51700] loss=0.9986 feat_std=0.0130 lr=0.00015 m=0.99687
  [ep 92 step 51750] loss=1.0741 feat_std=0.0128 lr=0.00015 m=0.99687
  [ep 92 step 51800] loss=0.9622 feat_std=0.0130 lr=0.00015 m=0.99687
  [ep 92 step 51850] loss=1.0077 feat_std=0.0129 lr=0.00015 m=0.99687
  [ep 93 step 51900] loss=0.9174 feat_std=0.0128 lr=0.00015 m=0.99688
  [ep 93 step 51950] loss=0.8802 feat_std=0.0128 lr=0.00015 m=0.99688
  [ep 93 step 52000] loss=1.0046 feat_std=0.0127 lr=0.00015 m=0.99688
  [ep 93 step 52050] loss=0.9586 feat_std=0.0127 lr=0.00015 m=0.99688
  [ep 93 step 52100] loss=0.9929 feat_std=0.0130 lr=0.00015 m=0.99688
  [ep 93 step 52150] loss=0.8993 feat_std=0.0129 lr=0.00015 m=0.99688
  [ep 93 step 52200] loss=0.9866 feat_std=0.0129 lr=0.00015 m=0.99689
  [ep 93 step 52250] loss=0.8923 feat_std=0.0129 lr=0.00015 m=0.99689
  [ep 93 step 52300] loss=0.9477 feat_std=0.0131 lr=0.00015 m=0.99689
  [ep 93 step 52350] loss=0.9554 feat_std=0.0129 lr=0.00015 m=0.99689
  [ep 93 step 52400] loss=1.0195 feat_std=0.0130 lr=0.00015 m=0.99689
  [ep 93 step 52450] loss=0.9604 feat_std=0.0131 lr=0.00015 m=0.99689
  [ep 94 step 52500] loss=0.8630 feat_std=0.0129 lr=0.00015 m=0.99689
  [ep 94 step 52550] loss=0.9717 feat_std=0.0130 lr=0.00015 m=0.99690
  [ep 94 step 52600] loss=0.8951 feat_std=0.0131 lr=0.00015 m=0.99690
  [ep 94 step 52650] loss=0.9713 feat_std=0.0126 lr=0.00015 m=0.99690
  [ep 94 step 52700] loss=0.9126 feat_std=0.0129 lr=0.00015 m=0.99690
  [ep 94 step 52750] loss=1.0694 feat_std=0.0129 lr=0.00015 m=0.99690
  [ep 94 step 52800] loss=0.9501 feat_std=0.0127 lr=0.00015 m=0.99690
  [ep 94 step 52850] loss=0.9566 feat_std=0.0129 lr=0.00015 m=0.99691
  [ep 94 step 52900] loss=1.0039 feat_std=0.0128 lr=0.00015 m=0.99691
