SSL pretraining | backbone=resnet50 | method=dino | epochs=300
Configs: ['configs/default.yaml', 'configs/ssl_pretrain.yaml', 'configs/_win_local.yaml', 'configs/ssl_dino_v3_0.yaml']
  Disjointness OK — SSL=53576 (26788 patients) vs train=35126 (17563 patients)
  Corpus images: 53576
  Device=cuda | AMP=True | feature_dim=2048
  [ep 17 step 9500] loss=2.1737 feat_std=0.0117 lr=0.00019 m=0.99603
  [ep 17 step 9550] loss=2.0454 feat_std=0.0118 lr=0.00019 m=0.99603
  [ep 17 step 9600] loss=2.0522 feat_std=0.0117 lr=0.00019 m=0.99603
  [ep 17 step 9650] loss=1.9979 feat_std=0.0119 lr=0.00019 m=0.99603
  [ep 17 step 9700] loss=2.0325 feat_std=0.0120 lr=0.00019 m=0.99603
  [ep 17 step 9750] loss=2.0192 feat_std=0.0120 lr=0.00019 m=0.99603
  [ep 17 step 9800] loss=2.0737 feat_std=0.0118 lr=0.00019 m=0.99603
  [ep 17 step 9850] loss=2.0653 feat_std=0.0117 lr=0.00019 m=0.99603
  [ep 17 step 9900] loss=1.9646 feat_std=0.0122 lr=0.00019 m=0.99603
  [ep 17 step 9950] loss=1.8792 feat_std=0.0121 lr=0.00019 m=0.99603
  [ep 17 step 10000] loss=2.0010 feat_std=0.0119 lr=0.00019 m=0.99604
  [ep 18 step 10050] loss=1.9892 feat_std=0.0117 lr=0.00019 m=0.99604
  [ep 18 step 10100] loss=1.8850 feat_std=0.0120 lr=0.00019 m=0.99604
  [ep 18 step 10150] loss=1.9053 feat_std=0.0122 lr=0.00019 m=0.99604
  [ep 18 step 10200] loss=1.9242 feat_std=0.0120 lr=0.00019 m=0.99604
  [ep 18 step 10250] loss=1.9856 feat_std=0.0119 lr=0.00019 m=0.99604
  [ep 18 step 10300] loss=1.8129 feat_std=0.0120 lr=0.00019 m=0.99604
  [ep 18 step 10350] loss=1.7955 feat_std=0.0119 lr=0.00019 m=0.99604
  [ep 18 step 10400] loss=1.9030 feat_std=0.0121 lr=0.00019 m=0.99604
