SSL pretraining | backbone=resnet50 | method=byol | epochs=300
Configs: ['configs/default.yaml', 'configs/ssl_pretrain.yaml', 'configs/_win_local.yaml', 'configs/ssl_retrain_v1_2.yaml']
  Disjointness OK — SSL=53576 (26788 patients) vs train=35126 (17563 patients)
  Corpus images: 53576
  Device=cuda | AMP=True | feature_dim=2048
  [ep 24 step 13700] loss=0.1037 feat_std=0.0074 lr=0.07454 m=0.99607
  [ep 24 step 13750] loss=0.1087 feat_std=0.0072 lr=0.07453 m=0.99607
  [ep 24 step 13800] loss=0.1235 feat_std=0.0075 lr=0.07452 m=0.99607
  [ep 24 step 13850] loss=0.1109 feat_std=0.0072 lr=0.07452 m=0.99607
  [ep 24 step 13900] loss=0.1096 feat_std=0.0073 lr=0.07451 m=0.99607
  [ep 25 step 13950] loss=0.1159 feat_std=0.0074 lr=0.07451 m=0.99607
  [ep 25 step 14000] loss=0.1061 feat_std=0.0072 lr=0.07450 m=0.99607
  [ep 25 step 14050] loss=0.1158 feat_std=0.0072 lr=0.07449 m=0.99607
  [ep 25 step 14100] loss=0.1569 feat_std=0.0072 lr=0.07449 m=0.99607
  [ep 25 step 14150] loss=0.1220 feat_std=0.0074 lr=0.07448 m=0.99607
  [ep 25 step 14200] loss=0.1232 feat_std=0.0072 lr=0.07448 m=0.99607
  [ep 25 step 14250] loss=0.1469 feat_std=0.0072 lr=0.07447 m=0.99607
  [ep 25 step 14300] loss=0.1275 feat_std=0.0072 lr=0.07446 m=0.99607
  [ep 25 step 14350] loss=0.1158 feat_std=0.0072 lr=0.07446 m=0.99607
  [ep 25 step 14400] loss=0.1020 feat_std=0.0075 lr=0.07445 m=0.99607
  [ep 25 step 14450] loss=0.1257 feat_std=0.0074 lr=0.07445 m=0.99607
  [ep 25 step 14500] loss=0.1264 feat_std=0.0073 lr=0.07444 m=0.99607
  [ep 26 step 14550] loss=0.1111 feat_std=0.0075 lr=0.07443 m=0.99607
  [ep 26 step 14600] loss=0.1043 feat_std=0.0073 lr=0.07443 m=0.99607
  [ep 26 step 14650] loss=0.1189 feat_std=0.0074 lr=0.07442 m=0.99608
  [ep 26 step 14700] loss=0.1080 feat_std=0.0074 lr=0.07441 m=0.99608
  [ep 26 step 14750] loss=0.1067 feat_std=0.0071 lr=0.07441 m=0.99608
