SSL pretraining | backbone=efficientnet_b3 | method=mocov2 | epochs=50
Configs: ['configs/default.yaml', 'configs/ssl_pretrain.yaml', 'configs/_win_local.yaml', 'configs/ssl_continual_v4_0.yaml', 'configs/ssl_continual_v4_0_eff.yaml']
  Disjointness OK — SSL=53576 (26788 patients) vs train=35126 (17563 patients)
  Corpus images: 53576
  Device=cuda | AMP=False | feature_dim=1536
  [ep 3 step 6450] loss=6.2830 feat_std=0.0216 lr=0.00037 m=0.99606
  [ep 3 step 6500] loss=6.3437 feat_std=0.0217 lr=0.00037 m=0.99606
  [ep 3 step 6550] loss=6.1348 feat_std=0.0217 lr=0.00037 m=0.99606
  [ep 3 step 6600] loss=6.4663 feat_std=0.0217 lr=0.00037 m=0.99606
  [ep 3 step 6650] loss=6.4242 feat_std=0.0215 lr=0.00037 m=0.99606
  [ep 4 step 6700] loss=6.4518 feat_std=0.0217 lr=0.00037 m=0.99606
  [ep 4 step 6750] loss=6.2263 feat_std=0.0217 lr=0.00037 m=0.99606
  [ep 4 step 6800] loss=6.3134 feat_std=0.0217 lr=0.00037 m=0.99606
  [ep 4 step 6850] loss=6.3808 feat_std=0.0217 lr=0.00037 m=0.99607
  [ep 4 step 6900] loss=6.1150 feat_std=0.0217 lr=0.00037 m=0.99607
  [ep 4 step 6950] loss=6.1719 feat_std=0.0217 lr=0.00037 m=0.99607
  [ep 4 step 7000] loss=6.1334 feat_std=0.0218 lr=0.00037 m=0.99607
  [ep 4 step 7050] loss=6.1559 feat_std=0.0217 lr=0.00037 m=0.99607
  [ep 4 step 7100] loss=6.1448 feat_std=0.0217 lr=0.00037 m=0.99607
  [ep 4 step 7150] loss=6.2238 feat_std=0.0218 lr=0.00037 m=0.99607
  [ep 4 step 7200] loss=6.2360 feat_std=0.0219 lr=0.00037 m=0.99607
  [ep 4 step 7250] loss=6.0361 feat_std=0.0215 lr=0.00037 m=0.99607
  [ep 4 step 7300] loss=6.0796 feat_std=0.0216 lr=0.00037 m=0.99607
  [ep 4 step 7350] loss=6.1512 feat_std=0.0216 lr=0.00037 m=0.99608
  [ep 4 step 7400] loss=6.2561 feat_std=0.0217 lr=0.00037 m=0.99608
  [ep 4 step 7450] loss=6.2824 feat_std=0.0219 lr=0.00037 m=0.99608
  [ep 4 step 7500] loss=6.1558 feat_std=0.0216 lr=0.00037 m=0.99608
  [ep 4 step 7550] loss=6.0354 feat_std=0.0218 lr=0.00037 m=0.99608
  [ep 4 step 7600] loss=6.1519 feat_std=0.0218 lr=0.00037 m=0.99608
  [ep 4 step 7650] loss=6.0408 feat_std=0.0218 lr=0.00037 m=0.99608
  [ep 4 step 7700] loss=6.1114 feat_std=0.0215 lr=0.00037 m=0.99608
  [ep 4 step 7750] loss=6.0373 feat_std=0.0218 lr=0.00037 m=0.99608
  [ep 4 step 7800] loss=6.0412 feat_std=0.0217 lr=0.00037 m=0.99609
  [ep 4 step 7850] loss=5.9706 feat_std=0.0219 lr=0.00037 m=0.99609
  [ep 4 step 7900] loss=6.0043 feat_std=0.0216 lr=0.00037 m=0.99609
  [ep 4 step 7950] loss=6.0728 feat_std=0.0216 lr=0.00037 m=0.99609
  [ep 4 step 8000] loss=6.0890 feat_std=0.0218 lr=0.00037 m=0.99609
  [ep 4 step 8050] loss=5.9478 feat_std=0.0219 lr=0.00037 m=0.99609
  [ep 4 step 8100] loss=6.3230 feat_std=0.0214 lr=0.00037 m=0.99609
  [ep 4 step 8150] loss=6.0772 feat_std=0.0217 lr=0.00037 m=0.99609
  [ep 4 step 8200] loss=6.1192 feat_std=0.0216 lr=0.00037 m=0.99609
  [ep 4 step 8250] loss=5.9065 feat_std=0.0218 lr=0.00037 m=0.99610
  [ep 4 step 8300] loss=5.9524 feat_std=0.0218 lr=0.00037 m=0.99610
  [ep 4 step 8350] loss=6.2179 feat_std=0.0215 lr=0.00037 m=0.99610
  [ep 5 step 8400] loss=5.8272 feat_std=0.0217 lr=0.00037 m=0.99610
  [ep 5 step 8450] loss=6.0281 feat_std=0.0216 lr=0.00037 m=0.99610
  [ep 5 step 8500] loss=6.0380 feat_std=0.0215 lr=0.00037 m=0.99610
  [ep 5 step 8550] loss=6.0119 feat_std=0.0215 lr=0.00037 m=0.99610
  [ep 5 step 8600] loss=5.8505 feat_std=0.0217 lr=0.00037 m=0.99610
  [ep 5 step 8650] loss=5.9290 feat_std=0.0217 lr=0.00037 m=0.99610
  [ep 5 step 8700] loss=5.9672 feat_std=0.0216 lr=0.00037 m=0.99611
  [ep 5 step 8750] loss=5.9884 feat_std=0.0218 lr=0.00037 m=0.99611
  [ep 5 step 8800] loss=5.8652 feat_std=0.0217 lr=0.00037 m=0.99611
  [ep 5 step 8850] loss=5.6923 feat_std=0.0217 lr=0.00037 m=0.99611
  [ep 5 step 8900] loss=5.9042 feat_std=0.0218 lr=0.00037 m=0.99611
  [ep 5 step 8950] loss=5.9816 feat_std=0.0216 lr=0.00037 m=0.99611
  [ep 5 step 9000] loss=5.8181 feat_std=0.0216 lr=0.00037 m=0.99611
