SSL pretraining | backbone=resnet50 | method=mocov2 | epochs=50
Configs: ['configs/default.yaml', 'configs/ssl_pretrain.yaml', 'configs/_win_local.yaml', 'configs/ssl_continual_v4_0.yaml']
  Disjointness OK — SSL=53576 (26788 patients) vs train=35126 (17563 patients)
  Corpus images: 53576
  Device=cuda | AMP=True | feature_dim=2048
  [ep 19 step 11150] loss=4.8300 feat_std=0.0146 lr=0.00080 m=0.99738
  [ep 20 step 11200] loss=4.8530 feat_std=0.0146 lr=0.00080 m=0.99739
  [ep 20 step 11250] loss=4.8845 feat_std=0.0145 lr=0.00079 m=0.99740
  [ep 20 step 11300] loss=4.8454 feat_std=0.0147 lr=0.00079 m=0.99741
  [ep 20 step 11350] loss=4.8772 feat_std=0.0146 lr=0.00079 m=0.99742
  [ep 20 step 11400] loss=4.8354 feat_std=0.0145 lr=0.00078 m=0.99743
  [ep 20 step 11450] loss=4.8112 feat_std=0.0145 lr=0.00078 m=0.99744
  [ep 20 step 11500] loss=4.8427 feat_std=0.0146 lr=0.00078 m=0.99746
  [ep 20 step 11550] loss=4.8285 feat_std=0.0146 lr=0.00078 m=0.99747
  [ep 20 step 11600] loss=4.8390 feat_std=0.0146 lr=0.00077 m=0.99748
  [ep 20 step 11650] loss=4.8246 feat_std=0.0143 lr=0.00077 m=0.99749
  [ep 20 step 11700] loss=4.8462 feat_std=0.0145 lr=0.00077 m=0.99750
  [ep 21 step 11750] loss=4.7883 feat_std=0.0146 lr=0.00076 m=0.99751
  [ep 21 step 11800] loss=4.8650 feat_std=0.0145 lr=0.00076 m=0.99752
  [ep 21 step 11850] loss=4.8745 feat_std=0.0145 lr=0.00076 m=0.99753
  [ep 21 step 11900] loss=4.8161 feat_std=0.0145 lr=0.00075 m=0.99754
  [ep 21 step 11950] loss=4.8191 feat_std=0.0145 lr=0.00075 m=0.99755
  [ep 21 step 12000] loss=4.8469 feat_std=0.0143 lr=0.00075 m=0.99756
  [ep 21 step 12050] loss=4.8243 feat_std=0.0143 lr=0.00074 m=0.99758
  [ep 21 step 12100] loss=4.8287 feat_std=0.0146 lr=0.00074 m=0.99759
  [ep 21 step 12150] loss=4.8661 feat_std=0.0145 lr=0.00074 m=0.99760
  [ep 21 step 12200] loss=4.8303 feat_std=0.0143 lr=0.00073 m=0.99761
  [ep 21 step 12250] loss=4.8763 feat_std=0.0144 lr=0.00073 m=0.99762
  [ep 22 step 12300] loss=4.8254 feat_std=0.0142 lr=0.00073 m=0.99763
  [ep 22 step 12350] loss=4.8137 feat_std=0.0145 lr=0.00072 m=0.99764
  [ep 22 step 12400] loss=4.7968 feat_std=0.0145 lr=0.00072 m=0.99765
  [ep 22 step 12450] loss=4.8418 feat_std=0.0143 lr=0.00072 m=0.99766
  [ep 22 step 12500] loss=4.8079 feat_std=0.0143 lr=0.00071 m=0.99767
  [ep 22 step 12550] loss=4.8313 feat_std=0.0142 lr=0.00071 m=0.99769
  [ep 22 step 12600] loss=4.8021 feat_std=0.0144 lr=0.00071 m=0.99770
  [ep 22 step 12650] loss=4.8272 feat_std=0.0143 lr=0.00070 m=0.99771
  [ep 22 step 12700] loss=4.7782 feat_std=0.0144 lr=0.00070 m=0.99772
  [ep 22 step 12750] loss=4.7607 feat_std=0.0145 lr=0.00070 m=0.99773
  [ep 22 step 12800] loss=4.8010 feat_std=0.0145 lr=0.00070 m=0.99774
  [ep 23 step 12850] loss=4.7910 feat_std=0.0144 lr=0.00069 m=0.99775
  [ep 23 step 12900] loss=4.8143 feat_std=0.0143 lr=0.00069 m=0.99776
  [ep 23 step 12950] loss=4.7936 feat_std=0.0142 lr=0.00069 m=0.99778
  [ep 23 step 13000] loss=4.7877 feat_std=0.0143 lr=0.00068 m=0.99779
  [ep 23 step 13050] loss=4.8042 feat_std=0.0143 lr=0.00068 m=0.99780
  [ep 23 step 13100] loss=4.7710 feat_std=0.0143 lr=0.00068 m=0.99781
  [ep 23 step 13150] loss=4.8026 feat_std=0.0143 lr=0.00067 m=0.99782
  [ep 23 step 13200] loss=4.8097 feat_std=0.0145 lr=0.00067 m=0.99783
  [ep 23 step 13250] loss=4.7989 feat_std=0.0143 lr=0.00067 m=0.99784
  [ep 23 step 13300] loss=4.7966 feat_std=0.0143 lr=0.00066 m=0.99785
  [ep 23 step 13350] loss=4.7601 feat_std=0.0144 lr=0.00066 m=0.99786
  [ep 24 step 13400] loss=4.8029 feat_std=0.0143 lr=0.00066 m=0.99788
  [ep 24 step 13450] loss=4.8306 feat_std=0.0144 lr=0.00065 m=0.99789
  [ep 24 step 13500] loss=4.7831 feat_std=0.0142 lr=0.00065 m=0.99790
  [ep 24 step 13550] loss=4.7873 feat_std=0.0142 lr=0.00065 m=0.99791
  [ep 24 step 13600] loss=4.7628 feat_std=0.0142 lr=0.00064 m=0.99792
  [ep 24 step 13650] loss=4.7907 feat_std=0.0144 lr=0.00064 m=0.99793
  [ep 24 step 13700] loss=4.7934 feat_std=0.0144 lr=0.00064 m=0.99794
  [ep 24 step 13750] loss=4.7892 feat_std=0.0142 lr=0.00063 m=0.99795
  [ep 24 step 13800] loss=4.7692 feat_std=0.0144 lr=0.00063 m=0.99797
  [ep 24 step 13850] loss=4.7707 feat_std=0.0144 lr=0.00063 m=0.99798
  [ep 24 step 13900] loss=4.7859 feat_std=0.0142 lr=0.00062 m=0.99799
  [ep 25 step 13950] loss=4.7979 feat_std=0.0142 lr=0.00062 m=0.99800
  [ep 25 step 14000] loss=4.8206 feat_std=0.0143 lr=0.00062 m=0.99801
  [ep 25 step 14050] loss=4.8008 feat_std=0.0142 lr=0.00061 m=0.99802
  [ep 25 step 14100] loss=4.8273 feat_std=0.0143 lr=0.00061 m=0.99803
  [ep 25 step 14150] loss=4.8100 feat_std=0.0142 lr=0.00061 m=0.99805
  [ep 25 step 14200] loss=4.7645 feat_std=0.0141 lr=0.00060 m=0.99806
  [ep 25 step 14250] loss=4.7652 feat_std=0.0142 lr=0.00060 m=0.99807
  [ep 25 step 14300] loss=4.7742 feat_std=0.0142 lr=0.00060 m=0.99808
  [ep 25 step 14350] loss=4.7826 feat_std=0.0141 lr=0.00059 m=0.99809
  [ep 25 step 14400] loss=4.7409 feat_std=0.0142 lr=0.00059 m=0.99810
  [ep 25 step 14450] loss=4.7737 feat_std=0.0142 lr=0.00059 m=0.99811
  [ep 25 step 14500] loss=4.7860 feat_std=0.0141 lr=0.00058 m=0.99812
  [ep 26 step 14550] loss=4.7661 feat_std=0.0142 lr=0.00058 m=0.99814
  [ep 26 step 14600] loss=4.7461 feat_std=0.0142 lr=0.00058 m=0.99815
  [ep 26 step 14650] loss=4.7728 feat_std=0.0142 lr=0.00057 m=0.99816
  [ep 26 step 14700] loss=4.7822 feat_std=0.0143 lr=0.00057 m=0.99817
  [ep 26 step 14750] loss=4.7451 feat_std=0.0143 lr=0.00056 m=0.99818
