SSL pretraining | backbone=resnet50 | method=mocov2 | epochs=300
Configs: ['configs/default.yaml', 'configs/ssl_pretrain.yaml', 'configs/_win_local.yaml', 'configs/ssl_moco_v2_0.yaml']
  Disjointness OK — SSL=53576 (26788 patients) vs train=35126 (17563 patients)
  Corpus images: 53576
  Device=cuda | AMP=True | feature_dim=2048
  [ep 16 step 9400] loss=5.6768 feat_std=0.0082 lr=0.01123 m=0.99603
  [ep 16 step 9450] loss=5.6696 feat_std=0.0081 lr=0.01123 m=0.99603
  [ep 17 step 9500] loss=5.6122 feat_std=0.0084 lr=0.01123 m=0.99603
  [ep 17 step 9550] loss=5.6872 feat_std=0.0083 lr=0.01123 m=0.99603
  [ep 17 step 9600] loss=5.6576 feat_std=0.0084 lr=0.01123 m=0.99603
  [ep 17 step 9650] loss=5.6026 feat_std=0.0083 lr=0.01123 m=0.99603
  [ep 17 step 9700] loss=5.6312 feat_std=0.0084 lr=0.01123 m=0.99603
  [ep 17 step 9750] loss=5.6567 feat_std=0.0081 lr=0.01123 m=0.99603
  [ep 17 step 9800] loss=5.6726 feat_std=0.0085 lr=0.01123 m=0.99603
  [ep 17 step 9850] loss=5.6185 feat_std=0.0083 lr=0.01123 m=0.99603
  [ep 17 step 9900] loss=5.5814 feat_std=0.0085 lr=0.01123 m=0.99603
  [ep 17 step 9950] loss=5.5353 feat_std=0.0086 lr=0.01123 m=0.99603
  [ep 17 step 10000] loss=5.5991 feat_std=0.0083 lr=0.01123 m=0.99604
  [ep 18 step 10050] loss=5.5886 feat_std=0.0086 lr=0.01123 m=0.99604
  [ep 18 step 10100] loss=5.5425 feat_std=0.0083 lr=0.01123 m=0.99604
  [ep 18 step 10150] loss=5.6113 feat_std=0.0083 lr=0.01123 m=0.99604
  [ep 18 step 10200] loss=5.5832 feat_std=0.0086 lr=0.01123 m=0.99604
  [ep 18 step 10250] loss=5.5089 feat_std=0.0084 lr=0.01123 m=0.99604
  [ep 18 step 10300] loss=5.5427 feat_std=0.0087 lr=0.01123 m=0.99604
  [ep 18 step 10350] loss=5.5880 feat_std=0.0083 lr=0.01123 m=0.99604
  [ep 18 step 10400] loss=5.5300 feat_std=0.0083 lr=0.01123 m=0.99604
  [ep 18 step 10450] loss=5.5650 feat_std=0.0083 lr=0.01122 m=0.99604
  [ep 18 step 10500] loss=5.4954 feat_std=0.0086 lr=0.01122 m=0.99604
  [ep 18 step 10550] loss=5.5478 feat_std=0.0084 lr=0.01122 m=0.99604
  [ep 18 step 10600] loss=5.5381 feat_std=0.0086 lr=0.01122 m=0.99604
  [ep 19 step 10650] loss=5.4924 feat_std=0.0086 lr=0.01122 m=0.99604
  [ep 19 step 10700] loss=5.4948 feat_std=0.0085 lr=0.01122 m=0.99604
  [ep 19 step 10750] loss=5.4332 feat_std=0.0087 lr=0.01122 m=0.99604
  [ep 19 step 10800] loss=5.4664 feat_std=0.0088 lr=0.01122 m=0.99604
  [ep 19 step 10850] loss=5.4842 feat_std=0.0084 lr=0.01122 m=0.99604
  [ep 19 step 10900] loss=5.4613 feat_std=0.0086 lr=0.01122 m=0.99604
  [ep 19 step 10950] loss=5.4525 feat_std=0.0088 lr=0.01122 m=0.99604
  [ep 19 step 11000] loss=5.4333 feat_std=0.0086 lr=0.01122 m=0.99604
  [ep 19 step 11050] loss=5.4426 feat_std=0.0089 lr=0.01122 m=0.99604
  [ep 19 step 11100] loss=5.4165 feat_std=0.0085 lr=0.01122 m=0.99604
  [ep 19 step 11150] loss=5.4234 feat_std=0.0087 lr=0.01122 m=0.99604
  [ep 20 step 11200] loss=5.4382 feat_std=0.0086 lr=0.01122 m=0.99604
  [ep 20 step 11250] loss=5.4417 feat_std=0.0088 lr=0.01122 m=0.99604
  [ep 20 step 11300] loss=5.3604 feat_std=0.0088 lr=0.01122 m=0.99604
  [ep 20 step 11350] loss=5.4285 feat_std=0.0087 lr=0.01121 m=0.99605
  [ep 20 step 11400] loss=5.3922 feat_std=0.0086 lr=0.01121 m=0.99605
  [ep 20 step 11450] loss=5.3461 feat_std=0.0088 lr=0.01121 m=0.99605
  [ep 20 step 11500] loss=5.4111 feat_std=0.0086 lr=0.01121 m=0.99605
  [ep 20 step 11550] loss=5.3506 feat_std=0.0091 lr=0.01121 m=0.99605
  [ep 20 step 11600] loss=5.3669 feat_std=0.0086 lr=0.01121 m=0.99605
  [ep 20 step 11650] loss=5.3176 feat_std=0.0088 lr=0.01121 m=0.99605
  [ep 20 step 11700] loss=5.3974 feat_std=0.0088 lr=0.01121 m=0.99605
  [ep 21 step 11750] loss=5.2779 feat_std=0.0089 lr=0.01121 m=0.99605
  [ep 21 step 11800] loss=5.3428 feat_std=0.0089 lr=0.01121 m=0.99605
  [ep 21 step 11850] loss=5.3255 feat_std=0.0089 lr=0.01121 m=0.99605
  [ep 21 step 11900] loss=5.2946 feat_std=0.0088 lr=0.01121 m=0.99605
  [ep 21 step 11950] loss=5.3365 feat_std=0.0088 lr=0.01121 m=0.99605
  [ep 21 step 12000] loss=5.3230 feat_std=0.0086 lr=0.01121 m=0.99605
  [ep 21 step 12050] loss=5.2670 feat_std=0.0089 lr=0.01121 m=0.99605
  [ep 21 step 12100] loss=5.2758 feat_std=0.0090 lr=0.01120 m=0.99605
  [ep 21 step 12150] loss=5.3354 feat_std=0.0091 lr=0.01120 m=0.99605
  [ep 21 step 12200] loss=5.2809 feat_std=0.0088 lr=0.01120 m=0.99605
  [ep 21 step 12250] loss=5.3019 feat_std=0.0090 lr=0.01120 m=0.99605
  [ep 22 step 12300] loss=5.2776 feat_std=0.0086 lr=0.01120 m=0.99605
  [ep 22 step 12350] loss=5.2423 feat_std=0.0090 lr=0.01120 m=0.99605
  [ep 22 step 12400] loss=5.2449 feat_std=0.0090 lr=0.01120 m=0.99605
  [ep 22 step 12450] loss=5.2604 feat_std=0.0089 lr=0.01120 m=0.99605
  [ep 22 step 12500] loss=5.2121 feat_std=0.0091 lr=0.01120 m=0.99605
  [ep 22 step 12550] loss=5.2262 feat_std=0.0088 lr=0.01120 m=0.99606
  [ep 22 step 12600] loss=5.2626 feat_std=0.0090 lr=0.01120 m=0.99606
  [ep 22 step 12650] loss=5.2783 feat_std=0.0089 lr=0.01120 m=0.99606
  [ep 22 step 12700] loss=5.1893 feat_std=0.0090 lr=0.01120 m=0.99606
  [ep 22 step 12750] loss=5.2067 feat_std=0.0089 lr=0.01120 m=0.99606
  [ep 22 step 12800] loss=5.2188 feat_std=0.0090 lr=0.01119 m=0.99606
  [ep 23 step 12850] loss=5.2343 feat_std=0.0090 lr=0.01119 m=0.99606
  [ep 23 step 12900] loss=5.2264 feat_std=0.0089 lr=0.01119 m=0.99606
  [ep 23 step 12950] loss=5.2161 feat_std=0.0090 lr=0.01119 m=0.99606
  [ep 23 step 13000] loss=5.1805 feat_std=0.0091 lr=0.01119 m=0.99606
  [ep 23 step 13050] loss=5.1497 feat_std=0.0092 lr=0.01119 m=0.99606
  [ep 23 step 13100] loss=5.1568 feat_std=0.0089 lr=0.01119 m=0.99606
  [ep 23 step 13150] loss=5.1889 feat_std=0.0091 lr=0.01119 m=0.99606
  [ep 23 step 13200] loss=5.1733 feat_std=0.0091 lr=0.01119 m=0.99606
  [ep 23 step 13250] loss=5.1409 feat_std=0.0091 lr=0.01119 m=0.99606
  [ep 23 step 13300] loss=5.1516 feat_std=0.0091 lr=0.01119 m=0.99606
  [ep 23 step 13350] loss=5.1237 feat_std=0.0091 lr=0.01119 m=0.99606
  [ep 24 step 13400] loss=5.1333 feat_std=0.0093 lr=0.01119 m=0.99606
  [ep 24 step 13450] loss=5.1843 feat_std=0.0091 lr=0.01118 m=0.99606
  [ep 24 step 13500] loss=5.1865 feat_std=0.0091 lr=0.01118 m=0.99606
  [ep 24 step 13550] loss=5.1312 feat_std=0.0092 lr=0.01118 m=0.99606
  [ep 24 step 13600] loss=5.1419 feat_std=0.0091 lr=0.01118 m=0.99606
  [ep 24 step 13650] loss=5.1302 feat_std=0.0093 lr=0.01118 m=0.99607
  [ep 24 step 13700] loss=5.1429 feat_std=0.0093 lr=0.01118 m=0.99607
  [ep 24 step 13750] loss=5.1148 feat_std=0.0090 lr=0.01118 m=0.99607
  [ep 24 step 13800] loss=5.0573 feat_std=0.0093 lr=0.01118 m=0.99607
  [ep 24 step 13850] loss=5.1521 feat_std=0.0094 lr=0.01118 m=0.99607
  [ep 24 step 13900] loss=5.0973 feat_std=0.0092 lr=0.01118 m=0.99607
  [ep 25 step 13950] loss=5.0879 feat_std=0.0091 lr=0.01118 m=0.99607
